_key,fr,en
wegeoo.title,"Wegeoo - Votre recherche d'appartements, maisons à la vente ou location sur une carte autour de %s","Wegeoo - Search Flat,House for Sale,Rent on a map"
wegeoo.meta.title,"Wegeoo - Votre recherche d'appartements, maisons à la vente ou location sur une carte autour de %s","Wegeoo %s - Search Property to Buy, Rent on a map"
wegeoo.meta.description,"Wegeoo met à disposition des annonces concernant la vente et location d'appartements et de maisons sur une carte. Prochainement l'emploi, les évènements, etc","Wegeoo provides flats or Houses for sale or rent on a map and soon for jobs, discount, events etc"
wegeoo.default.cityPostCode,75000,city
wegeoo.default.cityName,Paris,London
wegeoo.property,immobilier,property
wegeoo.sale,vente,sale
wegeoo.rent,location,rent
wegeoo.slogan.part1,"Votre recherche d'<strong>appartements</strong>, <strong>maisons</strong><br/> à la <strong>vente</strong> ou <strong>location</strong> sur une <strong>carte</strong>","Search <strong>Flat</strong> or <strong>House</strong><br/>for <strong>Sale</strong> or <strong>Rent</strong> on a <strong>map</strong>"
wegeoo.lastClassifiedsIn,Les dernières annonces proche de ,Latest Classifieds Around
wegeoo.post.title,Publier votre annonce,Post a classified
wegeoo.search.part1,Effectuer,Make
wegeoo.search.part2,une,your
wegeoo.search.part3,recherche,search
wegeoo.post,publication,post

publication.head.part1,"Publier une annonce sur Wegeoo est GRATUIT. Votre annonce sera validée par notre équipe éditoriale avant mise en ligne. Elle restera sur le site pendant 60 jours. Pendant cette période, vous pourrez la supprimer à tout moment. Voir les règles de diffusion.","Post an ad in Wegeoo is FREE. Your ad will be validated by our editorial team before being visible. It will be visible 60 days. During this period, you can remove it at any time. See the post rules."
publication.head.part2,"Pour les professionnels de l'immobilier, une interface vous sera dediée très prochainement pour la publication d'annonces.","For Property Professionals, an interface will be dedicated specially for you soon to post your ads."
home.last_classifieds,"Les dernières annonces ajoutées sur","Last Classifieds on"
month.01,janvier,January
month.02,février,February
month.03,mars,March
month.04,avril,April
month.05,mai,May
month.06,juin,June
month.07,juillet,July
month.08,août,August
month.09,septembre,September
month.10,octobre,October
month.11,novembre,November
month.12,décembre,December

classified.contact,Contact,Contact
classified.contact.phone,Téléphone,Phone
classified.contact.fax,Fax,Fax
classified.contact.website,"Site internet",Website
classified.contact.email,"Email (non affiché dans l'annonce)","Email (not displayed in the classified)"
classified.contact.name,Nom,Name
classified.contact.address,Adresse,Address
classified.contact.fax,Fax,Fax
classified.contact.expose_phone,"Afficher votre numéro de téléphone dans l'annonce","Display your phone in the classified page"
classified.contact.legal_information,"Informations légales de l'agence immobilière","General Informations about this company"
classified.details.heating,"Type de chauffage",Heating
classified.details.heating.0,Electricité,Electricity
classified.details.heating.1,Gaz,Gaz
classified.details.heating.2,Fuel,Fuel
classified.category,Categorie,Category
classified.category.sale,Vente,Sale
classified.category.rent,Location,Rent
classified.category.holidayRentals,Location saisonnière,Holiday Rentals
classified.category.new,Neuf,New
classified.category.couchSurfing,Couch Surfing,Couch Surfing
classified.title,"Le titre de votre annonce (50 caractères maximum)","Title (50 signs max)"
classified.description,"Description ",Description
classified.city,"La ville où se situe votre bien","The city where property is located"
classified.details.property_type,"Type de bien","Property Type"
classified.details.property_type.0,Appartement,Apartment
classified.details.property_type.1,Maison,House
classified.details.property_type.2,Terrain,Land
classified.details.property_type.3,"Espace commercial","Commercial Space"
classified.details.property_type.4,Parking,Parking
classified.details.property_type.5,Commerce,Shop
classified.details.property_type.6,Bâtiment,Building
classified.details.property_type.7,Immeuble,"Residential Building"
classified.details.property_type.8,Bureau,Office
classified.details.property_type.9,Loft,Loft
classified.details.property_type.10,Château,Castle
classified.details.property_type.11,Autres,Others
classified.details.num_rooms,"Nombre de pièces",Rooms
classified.details.num_bedrooms,"Nombre de chambres",Bedrooms
classified.details.num_bathrooms,"Nombre de salle de bains",Bathrooms
classified.details.num_toilets,"Nombre de toilettes",Toilets
classified.details.num_floors,"Nombre d'étages",Floors
classified.details.living_area,Surface,"Living Area"
classified.details.living_room_area,"Surface du salon","LivingRoom Area"
classified.map,Localisation,Geolocation
classified.map.address.placeholder,"Veuillez saisir une adresse","Please type an address"
classified.map.address.submit,"Valider l'adresse","Confirm the address"
classified.details,Caractéristiques,Details
classified.details.price,Prix,Price
classified.details.price.notProvided,Prix non communiqué,Price Undisclosed
classified.details.fees,"Frais d'agence","Agencey Fees"
classified.details.notarial_fees,"Frais de notaire","Notarial Fees"
classified.details.deposit,Caution,Deposit
classified.contact_type,"Vous êtes","You are"
